airport_id;airport_name;airport_latitude;airport_longitude;airport_city;airport_country_iso;airport_continent_iso
VCE;Venice Marco Polo Airport;45,505299;12,3519;Venice;IT;EU
LCV;Lucca-Tassignano Airport;43,825825;10,577928;Lucca;IT;EU
SAY;Siena-Ampugnano Airport;43,256302;11,255;Siena;IT;EU
CIA;Ciampino–G. B. Pastine International Airport;41,7994;12,5949;Rome;IT;EU
FCO;Rome–Fiumicino Leonardo da Vinci International Airport;41,804532;12,251998;Rome;IT;EU
QSR;Salerno Costa d'Amalfi Airport;40,620399;14,9113;Salerno;IT;EU
EBA;Marina Di Campo Airport;42,7603;10,2394;Marina  Di Campo;IT;EU
NAP;Naples International Airport;40,886002;14,2908;Nápoli;IT;EU
PSA;Pisa International Airport;43,683899;10,3927;Pisa;IT;EU
FLR;Peretola Airport;43,810001;11,2051;Firenze;IT;EU
GRS;Grosseto Air Base;42,759701;11,0719;Grosetto;IT;EU
PEG;Perugia San Francesco d'Assisi – Umbria International Airport;43,095901;12,5132;Perugia;IT;EU
LJU;Ljubljana Jože Pučnik Airport;46,223701;14,4576;Ljubljana;SI;EU
MBX;Maribor Airport;46,4799;15,6861;;SI;EU
POW;Portorož Airport;45,4734;13,615;Portorož;SI;EU
GTW;Holešov Airport;49,3143997;17,5688992;Holešov;CZ;EU
UHE;Kunovice Airport;49,02939987182617;17,439699172973633;Uherské Hradiště;CZ;EU
KLV;Karlovy Vary International Airport;50,20299911499024;12,914999961853027;Karlovy Vary;CZ;EU
OSR;Ostrava Leos Janáček Airport;49,6963005065918;18,111099243164062;Ostrava;CZ;EU
OLO;Olomouc Airport;49,587799;17,2108;Olomouc;CZ;EU
PED;Pardubice Airport;50,01340103149414;15,73859977722168;Pardubice;CZ;EU
PRV;Přerov Air Base;49,42580032348633;17,404699325561523;Přerov;CZ;EU
PRG;Václav Havel Airport Prague;50,1008;14,26;Prague;CZ;EU
BRQ;Brno-Tuřany Airport;49,15129852294922;16,694400787353516;Brno;CZ;EU
