station_id;station_name;station_latitud;station_longitud
79308;Vilamalla;42,216202;2,977874
79311;Vilajuiga;42,325739;3,085385
79314;Colera;42,407068;3,154262
79316;Cerbere;42,441476;3,163259
11516;Lezo-Errenteria;43,313544;-1,895015
11515;Pasaia;43,318764;-1,904324
11507;Hernani-Centro;43,261977;-1,975726
11504;Andoain-Centro;43,214729;-2,020394
11503;Villabona-Zizurkil;43,189391;-2,055641
11405;Ordizia/ordicia;43,052583;-2,181019
11404;Beasain;43,046174;-2,203234
11306;Legazpi;43,052263;-2,329396
11213;Araia;42,869599;-2,306807
11212;Salvatierra/agurain;42,84643;-2,38921
11210;Alegria de Alava-Dulantzi;42,848723;-2,514668
11205;Nanclares/langraiz;42,816216;-2,804942
11204;La Puebla de Arganzon;42,765245;-2,830385
11203;Manzanos;42,742899;-2,867501
81205;Cortes de Navarra;41,915076;-1,420439
81203;Ribaforada;41,997038;-1,515097
80115;Villafranca de Navarra;42,280734;-1,745716
80114;Marcilla de Navarra;42,334851;-1,717418
80109;Olite/erriberri;42,484989;-1,649964
80005;Uharte-Arakil;42,920606;-1,974814
80003;Etxarri-Aranatz;42,911138;-2,071245
80001;Altsasu/alsasua-Pueblo;42,893283;-2,167429
11109;Briviesca;42,542765;-3,319287
11111;Pancorbo;42,630486;-3,112307
70801;Utebo;41,7105305;-0,9979222
70800;Casetas;41,72265;-1,020175
81210;Alagon;41,771422;-1,112771
81209;Cabanyas de Ebro;41,788065;-1,167533
81208;Pedrola;41,805198;-1,201673
81207;Luceni;41,826116;-1,243536
81206;Gallur;41,867164;-1,321342
81102;Agoncillo;42,443585;-2,291701
81105;Alcanadre;42,407437;-2,122094
60301;Quero;39,504173;-3,266072
60300;Villacanyas;39,622698;-3,33051
60203;Villasequilla;39,879535;-3,728453
60202;Castillejo-Anyover;39,949634;-3,738774
35406;Valencia de Alcantara;39,426928;-7,230688
35405;San Vicente de Alcantara;39,381561;-7,117075
35402;Arroyo-Malpartida;39,468078;-6,533634
50002;Cinco Casas;39,169282;-3,232663
94002;Daimiel;39,061553;-3,604213
94004;Almagro;38,895323;-3,709777
70500;Ariza;41,3098;-2,059411
70403;Arcos de Jalon;41,215854;-2,278998
70401;Medinaceli;41,165207;-2,421241
70400;Torralba;41,136617;-2,492952
70302;Siguenza;41,071417;-2,646407
70300;Baides;41,004864;-2,785635
70210;Matillas;40,953808;-2,84326
70209;Jadraque;40,930229;-2,935935
70208;Carrascosa de Henares;40,90598;-3,014352
70207;Espinosa de Henares;40,909686;-3,073157
70204;Humanes de Mohernando;40,831273;-3,13886
70202;Yunquera de Henares;40,747013;-3,163226
70200;Guadalajara;40,6441032;-3,1822298
10400;Avila;40,657255;-4,683312
18002;Madrid-Nuevos Ministerios;40,4466171;-3,6923408
18001;Madrid-Recoletos;40,4234123;-3,6908535
18003;M.alvaro-P;40,3956167;-3,6777094
18004;Delicias;40,4003715;-3,692763
18005;Piramides;40,4025917;-3,7113344
10000;Madrid-Principe Pio;40,4215361;-3,7190805
10001;Aravaca (apd-Cgd);40,4484027;-3,7855512
10002;Pozuelo;40,4473443;-3,8002865
10005;Las Rozas (apd);40,4942255;-3,8681086
10100;Pinar de Las Rozas;40,5222566;-3,8822585
10200;Villalba de Guadarrama;40,6265067;-4,0081871
10201;San Yago;40,6178786;-4,0312349
10202;Las Zorreras-Navalquejigo;40,6092725;-4,0463634
10203;El Escorial;40,5852811;-4,1324479
10204;Zarzalejo;40,53871;-4,15818
10205;Robledo de Chavela;40,520802;-4,246774
10206;Santa Maria de La Alameda-Peguerinos;40,568937;-4,269332
10209;El Pimpollar;40,567587;-4,283541
10207;Las Navas del Marques;40,589205;-4,362259
10208;Navalperal;40,591152;-4,408382
10300;Herradon-La Canyada;40,599275;-4,495039
18101;Madrid-Sol;40,4168778;-3,7032107
97201;Madrid-Ramon Y Cajal;40,488298;-3,6946827
97200;Mirasierra-Paco de Lucia;40,499662;-3,709016
97100;Pitis;40,4954011;-3,7260638
10101;Las Matas;40,5523275;-3,8967651
10103;Torrelodones;40,5745499;-3,9565955
10104;Galapagar-La Navata;40,6002664;-3,9822646
10302;Guimorcondo;40,649062;-4,614987
12100;Segovia;40,93403;-4,11365
12001;Los Negrales;40,6385681;-4,0220307
12002;Alpedrete-Mataespesa;40,6580931;-4,0350813
12004;Collado Mediano;40,69276;-4,0359164
12005;Los Molinos-Guadarrama;40,7066368;-4,0673999
12006;Cercedilla;40,7375282;-4,0664502
12007;Tablada;40,705648;-4,12531
12008;Gudillos;40,716914;-4,157681
12009;San Rafael;40,714944;-4,18143
12010;El Espinar;40,740852;-4,189482
12011;Los Angeles de San Rafael;40,777909;-4,206933
12012;Otero-Herreros;40,80097;-4,203504
12013;Ortigosa del Monte;40,832771;-4,168094
12014;Navas de Riofrio- La Losa;40,856673;-4,141103
10409;Arevalo;41,047123;-4,701988
10501;Pozaldez;41,36792;-4,836001
10502;Matapozuelos;41,422794;-4,801025
10503;Valdestillas;41,488729;-4,772937
10504;Viana;41,52407;-4,754489
82100;Soria;41,754754;-2,476537
84104;Quintana Redonda;41,639726;-2,609682
84103;Tardelcuende;41,593525;-2,639337
